timestamp,value,is_anomaly,anomaly_score
2014-07-01 00:00:00,10844,0,0.5402264722631821
2014-07-01 00:30:00,8127,1,0.5527268268346288
2014-07-01 01:00:00,6210,0,0.540141949135285
2014-07-01 01:30:00,4656,0,0.532001848306127
2014-07-01 02:00:00,3820,0,0.5363581661084647
2014-07-01 02:30:00,2873,0,0.5364093495456287
2014-07-01 03:00:00,2369,0,0.5341614746077363
2014-07-01 03:30:00,2064,1,0.566416709498731
2014-07-01 04:00:00,2221,0,0.5369374014380129
2014-07-01 04:30:00,2158,0,0.5486505494333438
2014-07-01 05:00:00,2515,0,0.5366987693608158
2014-07-01 05:30:00,4364,0,0.522150306977941
2014-07-01 06:00:00,6526,0,0.5231987859560089
2014-07-01 06:30:00,11039,0,0.546069624365012
2014-07-01 07:00:00,13857,0,0.49449070315511384
2014-07-01 07:30:00,15865,0,0.4667020883259108
2014-07-01 08:00:00,17920,0,0.43135108292246654
2014-07-01 08:30:00,20346,0,0.4755380385988808
2014-07-01 09:00:00,19539,0,0.45620825257049924
2014-07-01 09:30:00,20107,0,0.46627331375282177
2014-07-01 10:00:00,18984,0,0.44063334435626583
2014-07-01 10:30:00,17720,0,0.4331852848007494
2014-07-01 11:00:00,17249,0,0.4352433788748915
2014-07-01 11:30:00,18463,0,0.43162471475590897
2014-07-01 12:00:00,18908,0,0.4415826068589225
2014-07-01 12:30:00,18886,0,0.44417960047790855
2014-07-01 13:00:00,18178,0,0.4358596178726031
2014-07-01 13:30:00,19459,0,0.4506884560583508
2014-07-01 14:00:00,19546,0,0.4578853599256549
2014-07-01 14:30:00,20591,0,0.48708703614534055
2014-07-01 15:00:00,19380,0,0.44764489498836485
2014-07-01 15:30:00,18544,0,0.4332939641015355
2014-07-01 16:00:00,16228,0,0.4576168046538483
2014-07-01 16:30:00,15013,0,0.4704639314037617
2014-07-01 17:00:00,17203,0,0.43433373633085415
2014-07-01 17:30:00,19525,0,0.45678015073545236
2014-07-01 18:00:00,22966,0,0.5045090253972238
2014-07-01 18:30:00,27598,1,0.679741712354277
2014-07-01 19:00:00,26827,1,0.633538860893796
2014-07-01 19:30:00,24904,0,0.5478490858299075
2014-07-01 20:00:00,22875,0,0.5037096350021316
2014-07-01 20:30:00,20394,0,0.4750771650856942
2014-07-01 21:00:00,23401,0,0.5092649564461856
